product_id,original_title,cleaned_title,keyword,search_volume,competition,competition_index,similarity_score,overlap_ratio
48809,Jordan 1 Retro High Obsidian Reps,Jordan 1 Retro High Obsidian,jordans 1 obsidian,9900,HIGH,99.0,2475.0,0.25
48809,Jordan 1 Retro High Obsidian Reps,Jordan 1 Retro High Obsidian,jordan 1 high obsidian,1300,HIGH,93.0,975.0,0.75
48809,Jordan 1 Retro High Obsidian Reps,Jordan 1 Retro High Obsidian,air jordan 1 obsidian,1600,HIGH,99.0,800.0,0.5
48809,Jordan 1 Retro High Obsidian Reps,Jordan 1 Retro High Obsidian,jordan 1 retro high og blue,1000,HIGH,100.0,750.0,0.75
48809,Jordan 1 Retro High Obsidian Reps,Jordan 1 Retro High Obsidian,jordans 1 high obsidian,1300,HIGH,93.0,650.0,0.5
48809,Jordan 1 Retro High Obsidian Reps,Jordan 1 Retro High Obsidian,obsidian jordan1,2400,HIGH,97.0,600.0,0.25
48809,Jordan 1 Retro High Obsidian Reps,Jordan 1 Retro High Obsidian,obsidian jordans 1,2400,HIGH,97.0,600.0,0.25
48809,Jordan 1 Retro High Obsidian Reps,Jordan 1 Retro High Obsidian,jordan 1 obsidian blue,720,HIGH,87.0,360.0,0.5
48809,Jordan 1 Retro High Obsidian Reps,Jordan 1 Retro High Obsidian,air jordan 1 retro high og obsidian,320,HIGH,93.0,320.0,1.0
48809,Jordan 1 Retro High Obsidian Reps,Jordan 1 Retro High Obsidian,jordan 1 obsidian high,390,HIGH,100.0,292.5,0.75
48809,Jordan 1 Retro High Obsidian Reps,Jordan 1 Retro High Obsidian,jordan 1 retro high obsidian,260,HIGH,89.0,260.0,1.0
48809,Jordan 1 Retro High Obsidian Reps,Jordan 1 Retro High Obsidian,aj1 obsidian,880,HIGH,91.0,220.0,0.25
48809,Jordan 1 Retro High Obsidian Reps,Jordan 1 Retro High Obsidian,jordan 1 mid white metallic gold obsidian,390,HIGH,100.0,195.0,0.5
48809,Jordan 1 Retro High Obsidian Reps,Jordan 1 Retro High Obsidian,air jordan 1 high obsidian,260,HIGH,89.0,195.0,0.75
48809,Jordan 1 Retro High Obsidian Reps,Jordan 1 Retro High Obsidian,jordans 1 retro high obsidian,260,HIGH,89.0,195.0,0.75
48809,Jordan 1 Retro High Obsidian Reps,Jordan 1 Retro High Obsidian,j 1 obsidian,720,HIGH,75.0,180.0,0.25
48809,Jordan 1 Retro High Obsidian Reps,Jordan 1 Retro High Obsidian,air jordan 1 retro high obsidian,170,HIGH,78.0,170.0,1.0
48809,Jordan 1 Retro High Obsidian Reps,Jordan 1 Retro High Obsidian,jordans obsidian blue,590,HIGH,94.0,147.5,0.25
48809,Jordan 1 Retro High Obsidian Reps,Jordan 1 Retro High Obsidian,jordan 1 retro high obsidian unc,140,HIGH,84.0,140.0,1.0
48809,Jordan 1 Retro High Obsidian Reps,Jordan 1 Retro High Obsidian,aj 1 obsidian blue,390,HIGH,81.0,97.5,0.25
48824,Jordan 3 Retro Racer Blue Replica,Jordan 3 Retro Racer Blue,blue jordan 3's,18100,HIGH,98.0,9050.0,0.5
48824,Jordan 3 Retro Racer Blue Replica,Jordan 3 Retro Racer Blue,blue jordan3,18100,HIGH,98.0,4525.0,0.25
48824,Jordan 3 Retro Racer Blue Replica,Jordan 3 Retro Racer Blue,jordan 3 racer blue,5400,HIGH,94.0,4050.0,0.75
